CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt
ZD004,2,KBIDI,Emeline,Mme,DVG,Divers gauche,32405,"60,59","29,06",OUI,97404,974,4,32,4ème circonscription,1,4,974
ZD004,6,RIVIERE,Jonathan,M.,RN,Rassemblement National,21075,"39,41","18,90",NON,97404,974,4,32,4ème circonscription,1,4,974
ZD005,5,RATENON,Jean-Hugues,M.,DVG,Divers gauche,20285,"53,75","22,37",OUI,97405,974,4,33,5ème circonscription,1,4,974
ZD005,9,DORO,Joan,M.,RN,Rassemblement National,17456,"46,25","19,25",NON,97405,974,4,33,5ème circonscription,1,4,974
ZD006,3,MAILLOT,Frédéric,M.,DVG,Divers gauche,21974,"58,23","25,92",OUI,97406,974,4,34,6ème circonscription,1,4,974
ZD006,7,LEGROS,Valérie,Mme,RN,Rassemblement National,15764,"41,77","18,59",NON,97406,974,4,34,6ème circonscription,1,4,974
ZD007,9,GAILLARD,Perceval,M.,UG,Union de la gauche,29190,"57,33","24,08",OUI,97407,974,4,35,7ème circonscription,1,4,974
ZD007,10,POUDROUX,Jean-Luc,M.,RN,Rassemblement National,21725,"42,67","17,92",NON,97407,974,4,35,7ème circonscription,1,4,974
ZM002,5,KAMARDINE,Mansour,M.,LR,Les Républicains,11153,"46,23","21,25",NON,97602,976,6,37,2ème circonscription,1,6,976
ZM002,8,BAMANA,Anchya,Mme,RN,Rassemblement National,12974,"53,77","24,73",OUI,97602,976,6,37,2ème circonscription,1,6,976
75001,1,KEMPF,Raphaël,M.,UG,Union de la gauche,20132,"36,36","23,88",NON,7501,75,11,38,1ère circonscription,1,11,75
75001,6,MAILLARD,Sylvain,M.,ENS,Ensemble ! (Majorité présidentielle),35239,"63,64","41,80",OUI,7501,75,11,38,1ère circonscription,1,11,75
75002,7,LAUSSUCQ,Jean,M.,ENS,Ensemble ! (Majorité présidentielle),28294,"56,50","37,94",OUI,7502,75,11,39,2ème circonscription,1,11,75
75002,12,ROSSET,Marine,Mme,UG,Union de la gauche,21784,"43,50","29,21",NON,7502,75,11,39,2ème circonscription,1,11,75
75003,1,GUERINI,Stanislas,M.,ENS,Ensemble ! (Majorité présidentielle),22444,"46,41","30,67",NON,7503,75,11,40,3ème circonscription,1,11,75
75003,2,BALAGE EL MARIKY,Léa,Mme,UG,Union de la gauche,25915,"53,59","35,41",OUI,7503,75,11,40,3ème circonscription,1,11,75
75004,1,PANOSYAN-BOUVET,Astrid,Mme,ENS,Ensemble ! (Majorité présidentielle),24026,"51,93","32,82",OUI,7504,75,11,41,4ème circonscription,1,11,75
75004,10,BOULARD,Geoffroy,M.,DVD,Divers droite,22236,"48,07","30,38",NON,7504,75,11,41,4ème circonscription,1,11,75
75011,4,HERVIEU,Céline,Mme,UG,Union de la gauche,25213,"50,58","34,60",OUI,7511,75,11,48,11ème circonscription,1,11,75
75011,7,GATEL,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),24631,"49,42","33,80",NON,7511,75,11,48,11ème circonscription,1,11,75
75012,2,GREGOIRE,Olivia,Mme,ENS,Ensemble ! (Majorité présidentielle),31676,"65,20","41,95",OUI,7512,75,11,49,12ème circonscription,1,11,75
75012,4,MALAISÉ,Celine,Mme,UG,Union de la gauche,16904,"34,80","22,38",NON,7512,75,11,49,12ème circonscription,1,11,75
75013,6,AMIEL,David,M.,ENS,Ensemble ! (Majorité présidentielle),27970,"55,76","35,97",OUI,7513,75,11,50,13ème circonscription,1,11,75
75013,10,NIAKATÉ,Aminata,Mme,UG,Union de la gauche,22192,"44,24","28,54",NON,7513,75,11,50,13ème circonscription,1,11,75
75014,2,HADDAD,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),34722,"72,33","45,44",OUI,7514,75,11,51,14ème circonscription,1,11,75
75014,5,PIQUET,Louis,M.,UXD,Union de l'extrême droite,13282,"27,67","17,38",NON,7514,75,11,51,14ème circonscription,1,11,75
75015,9,SIMONNET,Danielle,Mme,DVG,Divers gauche,28858,"74,19","36,25",OUI,7515,75,11,52,15ème circonscription,1,11,75
75015,11,VERZELETTI,Céline,Mme,UG,Union de la gauche,10039,"25,81","12,61",NON,7515,75,11,52,15ème circonscription,1,11,75
77001,3,SAINT-MARTIN,Arnaud,M.,UG,Union de la gauche,16967,"37,72","23,78",OUI,7701,77,11,56,1ère circonscription,1,11,77
77001,6,LUQUET,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle),11900,"26,46","16,68",NON,7701,77,11,56,1ère circonscription,1,11,77
77001,8,MICHEL,Théo,M.,UXD,Union de l'extrême droite,16110,"35,82","22,58",NON,7701,77,11,56,1ère circonscription,1,11,77
77002,3,DIMITROVA,Ivanka,Mme,RN,Rassemblement National,21007,"40,02","26,11",NON,7702,77,11,57,2ème circonscription,1,11,77
77002,7,VALLETOUX,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),31490,"59,98","39,14",OUI,7702,77,11,57,2ème circonscription,1,11,77
77003,1,BRUN,Davy,M.,RN,Rassemblement National,20250,"41,49","25,99",NON,7703,77,11,58,3ème circonscription,1,11,77
77003,4,THIERIOT,Jean-Louis,M.,LR,Les Républicains,28560,"58,51","36,65",OUI,7703,77,11,58,3ème circonscription,1,11,77
77004,4,PERIGAULT,Isabelle,Mme,LR,Les Républicains,27203,"48,30","30,66",NON,7704,77,11,59,4ème circonscription,1,11,77
77004,5,LIMONGI,Julien,M.,RN,Rassemblement National,29118,"51,70","32,82",OUI,7704,77,11,59,4ème circonscription,1,11,77
77005,3,FONTANA,Philippe,M.,UXD,Union de l'extrême droite,25175,"45,60","28,03",NON,7705,77,11,60,5ème circonscription,1,11,77
77005,5,RIESTER,Franck,M.,ENS,Ensemble ! (Majorité présidentielle),30038,"54,40","33,44",OUI,7705,77,11,60,5ème circonscription,1,11,77
77006,3,BENTOUNSI,Amal,Mme,UG,Union de la gauche,22041,"47,50","26,58",NON,7706,77,11,61,6ème circonscription,1,11,77
77006,4,ROULLAUD,Béatrice,Mme,RN,Rassemblement National,24362,"52,50","29,38",OUI,7706,77,11,61,6ème circonscription,1,11,77
77007,4,SOUDAIS,Ersilia,Mme,UG,Union de la gauche,27137,"53,00","30,40",OUI,7707,77,11,62,7ème circonscription,1,11,77
77007,8,LAFFITE,Agnès,Mme,RN,Rassemblement National,24063,"47,00","26,96",NON,7707,77,11,62,7ème circonscription,1,11,77
77008,1,BONNET,Arnaud,M.,UG,Union de la gauche,24892,"39,28","25,47",OUI,7708,77,11,63,8ème circonscription,1,11,77
77008,2,GHOMI,Hadrien,M.,ENS,Ensemble ! (Majorité présidentielle),21411,"33,79","21,91",NON,7708,77,11,63,8ème circonscription,1,11,77
