CodCirc2,Inscrits,CodCirc,CodDept,CodeReg
81001,85344,8101,81,76
81002,110310,8102,81,76
81003,104780,8103,81,76
82001,93424,8201,82,76
82002,97194,8202,82,76
83001,71099,8301,83,93
83002,92819,8302,83,93
83003,103272,8303,83,93
83004,113944,8304,83,93
83005,102351,8305,83,93
83006,128858,8306,83,93
83007,103766,8307,83,93
83008,110139,8308,83,93
84001,74019,8401,84,93
84002,86479,8402,84,93
84003,79308,8403,84,93
84004,90640,8404,84,93
84005,84946,8405,84,93
85001,120711,8501,85,52
85002,114084,8502,85,52
85003,136893,8503,85,52
85004,104717,8504,85,52
85005,84008,8505,85,52
86001,81053,8601,86,75
86002,80207,8602,86,75
86003,72419,8603,86,75
86004,73679,8604,86,75
87001,83948,8701,87,75
87002,98338,8702,87,75
87003,81393,8703,87,75
88001,75984,8801,88,44
88002,71896,8802,88,44
88003,63350,8803,88,44
88004,64121,8804,88,44
89001,74973,8901,89,27
89002,72260,8902,89,27
89003,89716,8903,89,27
90001,47553,9001,90,27
90002,46507,9002,90,27
91001,69794,9101,91,11
91002,92918,9102,91,11
91003,99134,9103,91,11
91004,99613,9104,91,11
91005,68706,9105,91,11
91006,83324,9106,91,11
91007,74148,9107,91,11
91008,76565,9108,91,11
91009,79787,9109,91,11
91010,62824,9110,91,11
92001,67718,9201,92,11
92002,71691,9202,92,11
92003,83095,9203,92,11
92004,81078,9204,92,11
92005,77488,9205,92,11
92006,76447,9206,92,11
92007,88339,9207,92,11
92008,68205,9208,92,11
92009,63463,9209,92,11
92010,80243,9210,92,11
92011,71659,9211,92,11
92012,93823,9212,92,11
92013,89338,9213,92,11
93001,69916,9301,93,11
93002,56882,9302,93,11
93003,77478,9303,93,11
93004,67437,9304,93,11
93005,65908,9305,93,11
93006,60823,9306,93,11
93007,83457,9307,93,11
93008,62716,9308,93,11
93009,76227,9309,93,11
93010,67983,9310,93,11
93011,64617,9311,93,11
93012,66374,9312,93,11
94001,85940,9401,94,11
94002,65377,9402,94,11
94003,74372,9403,94,11
94004,74883,9404,94,11
94005,91674,9405,94,11
94006,82431,9406,94,11
94007,66790,9407,94,11
94008,77040,9408,94,11
94009,54445,9409,94,11
94010,66628,9410,94,11
94011,66060,9411,94,11
95001,84016,9501,95,11
95002,78781,9502,95,11
95003,96306,9503,95,11
95004,76262,9504,95,11
95005,70843,9505,95,11
95006,75753,9506,95,11
95007,68539,9507,95,11
95008,55766,9508,95,11
95009,71614,9509,95,11
95010,66773,9510,95,11
ZA001,75757,97101,971,01
ZA002,88708,97102,971,01
ZA003,85766,97103,971,01
ZA004,68730,97104,971,01
ZB001,80328,97201,972,02
ZB002,79675,97202,972,02
ZB003,60258,97203,972,02
ZB004,84422,97204,972,02
ZC001,59245,97301,973,03
ZC002,49655,97302,973,03
ZD001,88547,97401,974,04
ZD002,101743,97402,974,04
ZD003,98835,97403,974,04
ZD004,111483,97404,974,04
ZD005,90636,97405,974,04
ZD006,84755,97406,974,04
ZD007,121146,97407,974,04
ZM001,45660,97601,976,06
ZM002,52449,97602,976,06
ZN001,97163,98801,988,00
ZN002,124951,98802,988,00
ZP001,73776,98701,987,00
ZP002,69245,98702,987,00
ZP003,69028,98703,987,00
ZS001,5069,97501,975,00
ZW001,9031,98601,986,00
ZX001,25227,ZX01,ZX,00
ZZ001,265932,ZZ01,ZZ,00
ZZ002,81793,ZZ02,ZZ,00
ZZ003,160634,ZZ03,ZZ,00
ZZ004,158039,ZZ04,ZZ,00
ZZ005,115502,ZZ05,ZZ,00
ZZ006,159746,ZZ06,ZZ,00
ZZ007,130824,ZZ07,ZZ,00
ZZ008,148957,ZZ08,ZZ,00
ZZ009,130387,ZZ09,ZZ,00
ZZ010,113855,ZZ10,ZZ,00
ZZ011,104619,ZZ11,ZZ,00
