CodCirElec,LibCirElec,NbSap,CodReg,CodDpt,CodCirc2
6906,6ème circonscription,1,84,69,69006
6907,7ème circonscription,1,84,69,69007
6908,8ème circonscription,1,84,69,69008
6909,9ème circonscription,1,84,69,69009
6910,10ème circonscription,1,84,69,69010
6911,11ème circonscription,1,84,69,69011
6912,12ème circonscription,1,84,69,69012
6913,13ème circonscription,1,84,69,69013
6914,14ème circonscription,1,84,69,69014
7301,1ère circonscription,1,84,73,73001
7302,2ème circonscription,1,84,73,73002
7303,3ème circonscription,1,84,73,73003
7304,4ème circonscription,1,84,73,73004
7401,1ère circonscription,1,84,74,74001
7402,2ème circonscription,1,84,74,74002
7403,3ème circonscription,1,84,74,74003
7404,4ème circonscription,1,84,74,74004
7405,5ème circonscription,1,84,74,74005
7406,6ème circonscription,1,84,74,74006
0401,1ère circonscription,1,93,04,04001
0402,2ème circonscription,1,93,04,04002
0501,1ère circonscription,1,93,05,05001
0502,2ème circonscription,1,93,05,05002
0601,1ère circonscription,1,93,06,06001
0602,2ème circonscription,1,93,06,06002
0603,3ème circonscription,1,93,06,06003
0604,4ème circonscription,1,93,06,06004
0605,5ème circonscription,1,93,06,06005
0606,6ème circonscription,1,93,06,06006
0607,7ème circonscription,1,93,06,06007
0608,8ème circonscription,1,93,06,06008
0609,9ème circonscription,1,93,06,06009
1301,1ère circonscription,1,93,13,13001
1302,2ème circonscription,1,93,13,13002
1303,3ème circonscription,1,93,13,13003
1304,4ème circonscription,1,93,13,13004
1305,5ème circonscription,1,93,13,13005
1306,6ème circonscription,1,93,13,13006
1307,7ème circonscription,1,93,13,13007
1308,8ème circonscription,1,93,13,13008
1309,9ème circonscription,1,93,13,13009
1310,10ème circonscription,1,93,13,13010
1311,11ème circonscription,1,93,13,13011
1312,12ème circonscription,1,93,13,13012
1313,13ème circonscription,1,93,13,13013
1314,14ème circonscription,1,93,13,13014
1315,15ème circonscription,1,93,13,13015
1316,16ème circonscription,1,93,13,13016
8301,1ère circonscription,1,93,83,83001
8302,2ème circonscription,1,93,83,83002
8303,3ème circonscription,1,93,83,83003
8304,4ème circonscription,1,93,83,83004
8305,5ème circonscription,1,93,83,83005
8306,6ème circonscription,1,93,83,83006
8307,7ème circonscription,1,93,83,83007
8308,8ème circonscription,1,93,83,83008
8401,1ère circonscription,1,93,84,84001
8402,2ème circonscription,1,93,84,84002
8403,3ème circonscription,1,93,84,84003
8404,4ème circonscription,1,93,84,84004
8405,5ème circonscription,1,93,84,84005
2A01,1ère circonscription,1,94,2A,2A001
2A02,2ème circonscription,1,94,2A,2A002
2B01,1ère circonscription,1,94,2B,2B001
2B02,2ème circonscription,1,94,2B,2B002
