CodCirc2,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
13013,,,DELESPAUL Hervé,,,,,LOKMANE Lila,,METRAL Cyril,,,,,SCHEREDRE Olympe,,FOUQUART Emmanuel,,,DHARRÉVILLE Pierre,,
13014,,,DUFAY Mireille,,BOUCKENHOVE Baptiste,,SASSOON Dominique,PETEL Anne-Laurence,,ROCHE Anne,,,MUSELET Gaëtan,,MOYAL Charles,,,,,CIOT Jean-David,VERNY Gérault,
13015,,PTAK Christophe,,,,,,PONCHON Solange,,TESTUT Anne,,,HERMELLIN Stephane,,ELESIKIAN Martine,,BAUBRY Romain,,,AÏDAROUS Wassila,,
13016,,,,,,,BOUZIANI Samir,BISCIONE Marion,,DUBOST Guy,,,BERNARDET Alain,,SEDDIK Florent,,TACHE DE LA PAGERIE Emmanuel,,,KOUKAS Nicolas,,
14001,,,,,BRUNEAU Joël,,,,,CASEVITZ Pierre,,,,,LELOUP Matéo,,DAOUDI Ludivine,,,FOURREAU Emma,,
14002,,,BAZINCOURT Cédric,,BROU Camille,,,BERKOVICZ Gregory,,GARCIA Christophe,,,,,,,LIBAN Josseline,,,DELAPORTE Arthur,,
14003,,VALETTE Thierry Paul,MAFIODO Steven,,,,,PATRIER-LEITUS Jérémie,,LANGEVIN Michel,,,,,,,FAUVAGE Edouard,,,TRUFFAUT Olivier,,
14004,,,BUISSON François,,GAUGAIN Sophie,,,BLANCHET Christophe,,POIROT-BOURDAIN Patrick,,,,,DEUTSCH Pascale,,HENRY Chantal,,,MOURARET Pierre,,
14005,,,GÉREUX Jean-Alexis,,NOUVELOT Cédric,,,BOUYX Bertrand,,PELTRE Isabelle,,,,,DESCLOS Tony,,CHAPRON Philippe,,,DUPONT-FEDERICI Thomas,,
14006,,,AMBOURG Philippe,LAHALLE Lynda,,,,BORNE Elisabeth,,"GEORGET Pascale, LAREYNIE Bérengère",,,,,CAILLEMER Esteline,,CALBRIX Nicolas,,,GAUCHARD Noé,,
15001,,,,,DESCOEUR Vincent,,,,,DAUVILLIER Rémy,,SABOT Denis,,,BRUXELLE Jean-Jacques,,GALLAIS Dorothée,,,RUEDA Valérie,,
15002,,,,,"TOTY Louis, BONY Jean Yves",,,TILMANT-TATISCHEFF Vladimir,,CHEIKHI Mona,,,,,VEYSSET-RAPAPORT Pascal,,LACROIX Gilles,,,PÉBAY Zoé,,
16001,,,,,,,,,,NICOLAS Olivier,,MESNIER Thomas,BOIVIN Alain,,BERNARD Doraline,,LATUS Marion,,,PILATO René,,
16002,,,,,,,VINSONNEAU Corentin,MARSAUD Sandra,DE CLISSON Aurore,BESSAS Françoise,,,JOBIT Didier,,JANOT Alain Gérard,,,,,BALLU Carole,MARTIN Barthélemy,
16003,,,,,,,,FRANÇOIS Gwenhaël,,CURGALI Patrick,,,,,TOUZÉ Adrien,,COLOMBIER Caroline,,SOUCHAUD Dominique,LEBRAUD Virginie,,
17001,,PERE Philippe,,,,"SAMRI Yasmina, FALORNI Olivier",,,,COLIN Antoine,,,,,FRANCOIS Nicolas,RAMEL Françoise,CHAUVEAU Emma,,,SOUBESTE Jean-Marc,,
17002,,,,,,,,BABAULT Anne-Laure,,CASTELLO Frédéric,,,BLANCHÉ Hervé,,,,BERTHOLOM Karen,,,BITEAU Benoît,,
17003,,,,,,DAHAN-BERTHELOT Gérald,,ARDOUIN Jean-Philippe,,GODDE Anne-Catherine,,,,,,,MORIN Stéphane,,,BARUSSEAU Fabrice,,
17004,,,,,,,,GERARD Raphaël,,TRIPELON Olivier,,,DROUILLARD Céline,,,,MARKOWSKY Pascal,,,DESSELLES Danièle,,
17005,,,,,,,,,,CASSETTE Danièle,,PLASSARD Christophe,,,,,MONGELOUS Aymeric,,,BRACHET Anne,,
18001,,,,,,,,CORMIER-BOULIGEON François,,CERVEAU Sylvie,,,,,,BELLON Sandrine,IANNUZZI Ugo,,,LEFELLE Hugo,,
18002,,,,,BULTEAU Philippe,,,BEHAGHEL Gabriel,,ROBIN Régis,,,,,JAULIN Ludovic,,DUENAS Bastian,,,SANSU Nicolas,,
18003,,,CHARTIER Christa,,,,,KERVRAN Loïc,,BELLET Eric,,,DE CHOULOT Bénédicte,,LOUGNON Eric,,GENTILLET Pierre,,,MOREIRA Emma,,
19001,,,,,,,,,,COINAUD Marie-Thérèse,,,DUBOIS Francis,,OGUINENA Gilles,,POUGET Maïtey,,,HOLLANDE François,,
19002,,,,,,,,,,SICARD Sylvie,,,MEUNIER Frédérique,,,,ELOPHE Valéry,,,DEWAELE Amandine,,
21001,,,,,,ZIVKOVIC Sladana,,MARTIN Didier,,THÉVENIN Julien,,,DUGOURD François-Xavier,,,,HUMBLOT-CORNILLE Cyline,,,GODARD Océane,,
21002,,,BERTRAND Elisabeth,,,,GONZALEZ Julien,BORDAT Benoît,,ROCHER Claire,,,BOURGUIGNAT Laurent,,GAILLARD Franck,,GUYENOT Tatiana,,,HERVIEU Catherine,,
21003,,,,,,MEZUI Georges,,KHATTABI Fadila,,DELORME Fabienne,,,BOURGADEL Charle,,,,,,,PRIBETICH Pierre,COUDERT Thierry,
21004,,,,,,,,,,DENIZOT Michel,,,BRIGAND Hubert,,,,DUMONT Sophie,,,JACQ Valérie,,
21005,,,,BAUDOT Nicolas,CHERONT Arnaud,,,PARIS Didier,,PETET Françoise,,,,,,,LIORET René,,,FLACHE Jérôme,,
22001,,,,MATTASOGLIO Virginie,,,DANJOU Aourell,COSSON Mickaël,,"DENIS Hervé, LE FOL Alain",,,CROGUENNEC Bernard,,,,BILLAUD Françoise,,,GORGIARD Marion,,
22002,,,,,DESBOIS Michel,,,BERVILLE Hervé,,HERBLIN Lucie,,,,,,MAHEU Logan,KIEFFER Antoine,,,DAUPHIN Jérémy,,
22003,,GATIEN Gabrielle,,,,,,CLEMENT Lucas,,LAMOUR Jean-Pierre,,,LE FUR Corentin,,,"ROUXEL Emmanuel, TYLI Bryan",DE MELLON Odile,,,RAVARD Antoine,,
22004,,,,,,,,JOBIC Cyril,,LIRONCOURT Sylvie,,,,,LE MEN Danielle,,LUDE Noël,,,LEPVRAUD Murielle,,
22005,,,,,,,,BOTHOREL Eric,,GUÉGUEN Yann,,,,,,,LE BOULANGER Jean-Yves,,,LEMAITRE Marielle,,
23001,,VERHEYEN VALADE Florence,,,SIMONET Valérie,,,MOREAU Jean-Baptiste,,DUMON Catherine,,,,,PINSON Ana,,,,,COUTURIER Catherine,LENOIR Bartolomé,
24001,,LAMBERT Stéphane,,,,,,TONON Clément,,ALMOSNINO Jonathan,,,DESPORT NAMUR Bérenger,,COUTOU Antoine,,LECHON Nadine,,,MARTIN Pascale,,
24002,,,,,,,,DELPON Michel,,KHELFAOUI Lise,,,BAYLE Josie,,,,MULLER Serge,,,CATHUS Christophe,,
24003,,,,,,,,CUBERTAFON Jean-Pierre,,DECOUPY Jacques,,,THOMASSON Myriam,,,,JOUBERT Florence,,,DRUILLOLE Christelle,,
24004,,,,PEYRAT Jérôme,,,,TOURNE François,,GREEN-MADEO Christophe,,,BALLAND Anne-Catherine,,BALLERAND Nathalie,,MARCHAUDON Dominique-Louise,,,PEYTAVIE Sébastien,,
25001,,,,,,,PERNIN Marielle,CROIZIER Laurent,,"FRIESS Nicole, RUCH Alain",,,,,,MORÉ Elisa,LUTZ Thomas,,,VEZIES Séverine,,
25002,,,,,,,,VUILLEMIN Benoît,,VUITTON Brigitte,,,ROY Daniel,,,,FUSIS Eric,,,VOYNET Dominique,,
25003,,,KEMPS Brandon,,,,,PACQUOT Nicolas,,PLAIN Franck,,,,,,,,,,DAYET Virginie,BLOCH Matthieu,
25004,,,,,,,VOLA Yves,GAUTIER Philippe,,TREPPO Michel,,,,,,,GRANGIER Géraldine,,,DUVERNOIS Magali,,
25005,,LAURENT Nolann,,,,,,BOILLOT Lucas,,MORRISON Sonya,,,GENEVARD Annie,,,,JEANDENAND Florianne,,,CASSEZ Matthieu,,
