CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
51004,0,0,0,0,0,0,1,0,0,0,2,0
51005,0,0,0,1,0,0,0,0,0,0,2,0
52001,0,0,0,0,0,0,2,0,0,0,1,0
52002,0,0,0,0,0,0,0,2,0,0,1,0
53001,0,0,0,0,0,0,2,0,1,0,0,0
53002,0,0,0,0,0,0,1,0,2,0,0,0
53003,0,0,0,0,0,0,1,0,0,0,0,0
54001,0,0,0,0,0,0,1,0,2,0,0,0
54002,0,0,0,0,0,0,1,0,2,0,0,0
54003,0,0,0,0,0,0,2,0,1,0,0,0
54004,0,0,0,0,0,0,0,1,0,0,2,0
54005,0,0,0,0,1,0,0,0,0,0,2,0
54006,0,0,0,0,0,0,0,0,1,0,2,0
55001,0,0,0,1,0,0,0,0,0,0,2,0
55002,0,0,0,0,0,0,2,0,0,0,1,0
56001,0,0,0,0,0,0,1,0,2,0,0,0
56002,0,0,0,0,0,0,1,0,2,0,0,0
56003,0,0,0,0,0,0,1,0,2,0,0,0
56004,0,0,0,0,0,0,2,0,0,1,0,0
56005,0,0,0,0,0,0,1,0,2,0,0,0
56006,0,0,0,0,0,0,1,0,2,0,0,0
57001,0,0,0,0,0,0,1,0,0,0,2,0
57002,0,0,0,0,0,0,1,0,2,0,0,0
57003,0,0,0,0,0,0,0,0,1,0,2,0
57004,0,0,0,0,0,0,0,1,0,0,2,0
57005,0,0,0,0,0,0,0,1,0,0,2,0
57006,0,0,0,0,0,0,2,0,0,0,1,0
57007,0,0,0,0,0,0,2,0,0,0,1,0
57008,0,0,0,0,0,0,0,0,2,0,1,0
57009,0,0,0,0,0,0,1,0,2,0,0,0
58001,0,0,0,0,0,0,1,0,0,0,2,0
58002,0,0,0,0,0,0,1,0,3,0,2,0
59001,0,0,0,0,0,0,2,0,1,0,0,0
59002,0,0,0,0,0,0,2,0,1,0,0,0
59003,0,0,0,0,1,0,0,0,0,0,2,0
59004,0,0,0,0,0,0,1,0,2,0,0,0
59005,0,0,0,0,0,0,0,0,2,0,1,0
59006,0,0,0,0,0,0,1,0,2,0,0,0
59007,0,0,0,0,0,0,1,0,2,0,0,0
59008,0,0,0,0,0,0,2,0,1,0,0,0
