NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCirc,CodDept,CodeReg,CodCirc2
4,LEMAITRE,Marielle,Mme,UG,Union de la gauche,2205,22,53,22005
1,LE MEUR,Annaïg,Mme,ENS,Ensemble ! (Majorité présidentielle),2901,29,53,29001
2,LEBERT,Grégory,M.,UG,Union de la gauche,2901,29,53,29001
4,HÉNAFF,Christel,Mme,RN,Rassemblement National,2901,29,53,29001
4,LARSONNEUR,Jean-Charles,M.,DVC,Divers centre,2902,29,53,29002
7,CADALEN,Pierre-Yves,M.,UG,Union de la gauche,2902,29,53,29002
8,KERVELLA,Denis,M.,RN,Rassemblement National,2902,29,53,29002
2,LE GAC,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),2903,29,53,29003
3,DONVAL,Martine,Mme,RN,Rassemblement National,2903,29,53,29003
1,BIHOUEE,Tony,M.,RN,Rassemblement National,2904,29,53,29004
4,VULPIANI,Sylvaine,Mme,UG,Union de la gauche,2904,29,53,29004
5,LE FEUR,Sandrine,Mme,ENS,Ensemble ! (Majorité présidentielle),2904,29,53,29004
3,THOMAÏDIS,Renée,Mme,RN,Rassemblement National,2905,29,53,29005
4,MELCHIOR,Graziella,Mme,ENS,Ensemble ! (Majorité présidentielle),2905,29,53,29005
1,LE FUR,Patrick,M.,RN,Rassemblement National,2906,29,53,29006
6,THOMIN,Mélanie,Mme,UG,Union de la gauche,2906,29,53,29006
1,TANGUY,Liliana,Mme,ENS,Ensemble ! (Majorité présidentielle),2907,29,53,29007
2,ALANOU,Annick,Mme,RN,Rassemblement National,2907,29,53,29007
7,HARVINDER,Jugdeep,Mme,UG,Union de la gauche,2907,29,53,29007
4,BALANANT,Erwan,M.,ENS,Ensemble ! (Majorité présidentielle),2908,29,53,29008
5,PEREZ,Christian,M.,RN,Rassemblement National,2908,29,53,29008
1,MESMEUR,Marie,Mme,UG,Union de la gauche,3501,35,53,35001
5,BOUCHER,Nicolas,M.,ENS,Ensemble ! (Majorité présidentielle),3501,35,53,35001
7,REY DU BOISSIEU,Jeanne,Mme,RN,Rassemblement National,3501,35,53,35001
3,MAILLART-MÉHAIGNERIE,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),3502,35,53,35002
4,VANHAECKE,Bérénice,Mme,RN,Rassemblement National,3502,35,53,35002
5,LAHAIS,Tristan,M.,UG,Union de la gauche,3502,35,53,35002
1,D'ORSANNE,Virginie,Mme,RN,Rassemblement National,3503,35,53,35003
2,FAILLÉ,Charlotte,Mme,ENS,Ensemble ! (Majorité présidentielle),3503,35,53,35003
4,ROUAUX,Claudia,Mme,UG,Union de la gauche,3503,35,53,35003
3,FRANÇOIS,Jacques,M.,RN,Rassemblement National,3504,35,53,35004
4,HIGNET,Mathilde,Mme,UG,Union de la gauche,3504,35,53,35004
3,GILOIS,Françoise,Mme,RN,Rassemblement National,3505,35,53,35005
4,LE NABOUR,Christine,Mme,ENS,Ensemble ! (Majorité présidentielle),3505,35,53,35005
3,MARION,Tangi,M.,RN,Rassemblement National,3506,35,53,35006
5,BENOIT,Thierry,M.,ENS,Ensemble ! (Majorité présidentielle),3506,35,53,35006
1,LEMOINE,Dylan,M.,RN,Rassemblement National,3507,35,53,35007
2,BOURGEAUX,Jean-Luc,M.,DVD,Divers droite,3507,35,53,35007
3,MARTIN,Joseph,M.,RN,Rassemblement National,5601,56,53,56001
7,LE HÉNANFF,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),5601,56,53,56001
3,DE KERSAUSON,Florent,M.,RN,Rassemblement National,5602,56,53,56002
4,PAHUN,Jimmy,M.,ENS,Ensemble ! (Majorité présidentielle),5602,56,53,56002
5,LE PEIH,Nicole,Mme,ENS,Ensemble ! (Majorité présidentielle),5603,56,53,56003
6,OLIVIERO,Antoine,M.,RN,Rassemblement National,5603,56,53,56003
4,MOLAC,Paul,M.,REG,Régionaliste,5604,56,53,56004
