Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
CAUVIN,VALERIE,Mme,Union pour la majorité présidentielle,26,      20 515,"  44,95",07902,20515,44.95
GRELLIER,JEAN,M.,Socialiste,34,      17 121,"  41,56",07904,17121,41.56
PAILLE,DOMINIQUE,M.,Union pour la majorité présidentielle,46,      24 070,"  58,44",07904,24070,58.44
BOURGOIS,J.YVES,M.,Union pour la démocratie française,2,      13 818,"  45,23",08001,13818,45.23
GREMETZ,MAXIME,M.,Communiste,73,      16 730,"  54,77",08001,16730,54.77
BIGNON,JEROME,M.,Union pour la majorité présidentielle,12,      24 396,"  52,46",08003,24396,52.46
PEILLON,VINCENT,M.,Socialiste,55,      22 106,"  47,54",08003,22106,47.54
HART,JOEL,M.,Union pour la majorité présidentielle,27,      26 361,"  58,75",08004,26361,58.75
HAMMEL,FRANCIS,M.,Socialiste,28,      18 509,"  41,25",08004,18509,41.25
DEMILLY,STEPHANE,M.,Union pour la démocratie française,16,      21 962,"  56,54",08005,21962,56.54
KUMM,VALERIE,Mme,Socialiste,62,      16 881,"  43,46",08005,16881,43.46
FLEURY,JACQUES,M.,Socialiste,18,      22 856,"  47,75",08006,22856,47.75
GEST,ALAIN,M.,Union pour la majorité présidentielle,63,      25 006,"  52,25",08006,25006,52.25
QUILES,Paul,M.,Socialiste,1,      21 527,"  61,09",08101,21527,61.09
PUYMORIN DE,Richard,M.,Union pour la majorité présidentielle,35,      13 714,"  38,91",08101,13714,38.91
REVEILLON,Catherine,Mme,Union pour la majorité présidentielle,8,      22 749,"  47,25",08102,22749,47.25
CARCENAC,Thierry,M.,Socialiste,9,      25 398,"  52,75",08102,25398,52.75
BUGIS,Pascal,M.,Union pour la majorité présidentielle,45,      13 920,"  43,06",08103,13920,43.06
FOLLIOT,Philippe,M.,Rassemblement pour la France,47,      18 406,"  56,94",08103,18406,56.94
COLLANGE,Monique,Mme,Socialiste,22,      23 829,"  48,42",08104,23829,48.42
CARAYON,Bernard,M.,Union pour la majorité présidentielle,23,      25 387,"  51,58",08104,25387,51.58
BAREGES,BRIGITTE,Mme,Union pour la majorité présidentielle,23,      27 774,"  54,15",08201,27774,54.15
GARRIGUES,ROLAND,M.,Socialiste,26,      23 515,"  45,85",08201,23515,45.85
BRIAT,JACQUES,M.,Union pour la majorité présidentielle,8,      26 537,"  54,22",08202,26537,54.22
NUNZI,J.PAUL,M.,Socialiste,19,      22 408,"  45,78",08202,22408,45.78
CASANOVA,ODETTE,Mme,Socialiste,46,       7 965,"  30,73",08301,7965,30.73
LEVY,GENEVIEVE,Mme,Union pour la majorité présidentielle,62,      17 953,"  69,27",08301,17953,69.27
GAÏA,ROBERT,M.,Socialiste,72,      10 568,"  38,18",08302,10568,38.18
