NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
ROUILLON,Christophe,M.,SOC,Socialiste,22606,"  44,89","  26,04",non,07205,44.89,26.04
BOUVARD,Michel,M.,UMP,Union pour un Mouvement Populaire,29483,"  54,57","  30,77",oui,07303,54.57,30.77
LACLAIS,Bernadette,Mme,SOC,Socialiste,24547,"  45,43","  25,62",non,07303,45.43,25.62
TARDY,Lionel,M.,DVD,Divers droite,20434,"  55,51","  23,58",oui,07402,55.51,23.58
BOSSON,Bernard,M.,MAJ,Majorité présidentielle,16379,"  44,49","  18,90",non,07402,44.49,18.9
FRANCINA,Marc,M.,UMP,Union pour un Mouvement Populaire,33210,"  63,59","  31,12",oui,07405,63.59,31.12
VERGUET,Clotilde,Mme,SOC,Socialiste,19019,"  36,41","  17,82",non,07405,36.41,17.82
BILLARD,Martine,Mme,VEC,Les Verts,20125,"  54,25","  31,92",oui,07501,54.25,31.92
LEGARET,Jean-François,M.,UMP,Union pour un Mouvement Populaire,16969,"  45,75","  26,91",non,07501,45.75,26.91
COHEN-SOLAL,Lyne,Mme,SOC,Socialiste,15173,"  47,34","  28,31",non,07502,47.34,28.31
TIBERI,Jean,M.,UMP,Union pour un Mouvement Populaire,16880,"  52,66","  31,50",oui,07502,52.66,31.5
ASMANI,Lynda,Mme,UMP,Union pour un Mouvement Populaire,10132,"  36,81","  20,35",non,07505,36.81,20.35
DREYFUS,Tony,M.,SOC,Socialiste,17391,"  63,19","  34,94",oui,07505,63.19,34.94
HOFFMAN-RISPAL,Danièle,Mme,SOC,Socialiste,25770,"  69,12","  39,03",oui,07506,69.12,39.03
BEAUJOUR,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,11513,"  30,88","  17,43",non,07506,30.88,17.43
BLOCHE,Patrick,M.,SOC,Socialiste,23639,"  62,44","  37,05",oui,07507,62.44,37.05
TISSOT,Claude-Annick,Mme,UMP,Union pour un Mouvement Populaire,14220,"  37,56","  22,28",non,07507,37.56,22.28
MAZETIER,Sandrine,Mme,SOC,Socialiste,24783,"  55,85","  34,99",oui,07508,55.85,34.99
KLARSFELD,Arno,M.,UMP,Union pour un Mouvement Populaire,19588,"  44,15","  27,65",non,07508,44.15,27.65
TREMEGE,Patrick,M.,UMP,Union pour un Mouvement Populaire,13223,"  37,43","  21,38",non,07509,37.43,21.38
LE GUEN,Jean-Marie,M.,SOC,Socialiste,22108,"  62,57","  35,75",oui,07509,62.57,35.75
VASSEUR,Véronique,Mme,UMP,Union pour un Mouvement Populaire,17490,"  42,66","  26,81",non,07510,42.66,26.81
BLISKO,Serge,M.,SOC,Socialiste,23512,"  57,34","  36,04",oui,07510,57.34,36.04
COCHET,Yves,M.,VEC,Les Verts,21210,"  57,17","  35,35",oui,07511,57.17,35.35
GUEDJ,Nicole,Mme,UMP,Union pour un Mouvement Populaire,15891,"  42,83","  26,49",non,07511,42.83,26.49
GOUJON,Philippe,M.,UMP,Union pour un Mouvement Populaire,23907,"  62,79","  35,25",oui,07512,62.79,35.25
DARGENT,Claude,M.,SOC,Socialiste,14170,"  37,21","  20,89",non,07512,37.21,20.89
LAMOUR,Jean-François,M.,UMP,Union pour un Mouvement Populaire,23705,"  56,74","  33,45",oui,07513,56.74,33.45
HIDALGO,Anne,Mme,SOC,Socialiste,18071,"  43,26","  25,50",non,07513,43.26,25.5
LEPETIT,Annick,Mme,SOC,Socialiste,17944,"  56,24","  31,80",oui,07517,56.24,31.8
KUSTER,Brigitte,Mme,UMP,Union pour un Mouvement Populaire,13963,"  43,76","  24,74",non,07517,43.76,24.74
CARESCHE,Christophe,M.,SOC,Socialiste,19895,"  63,29","  35,63",oui,07518,63.29,35.63
BOUGRAB,Jeannette,Mme,UMP,Union pour un Mouvement Populaire,11540,"  36,71","  20,66",non,07518,36.71,20.66
VAILLANT,Daniel,M.,SOC,Socialiste,15778,"  63,05","  32,77",oui,07519,63.05,32.77
DECORTE,Roxane,Mme,UMP,Union pour un Mouvement Populaire,9245,"  36,95","  19,20",non,07519,36.95,19.2
CAMBADELIS,Jean-Christophe,M.,SOC,Socialiste,20897,"  59,09","  31,66",oui,07520,59.09,31.66
GIANNESINI,Jean-Jacques,M.,UMP,Union pour un Mouvement Populaire,14469,"  40,91","  21,92",non,07520,40.91,21.92
DELAMARE,Raoul,M.,UMP,Union pour un Mouvement Populaire,15701,"  37,30","  20,84",non,07521,37.3,20.84
PAU-LANGEVIN,George,Mme,SOC,Socialiste,26398,"  62,70","  35,04",oui,07521,62.7,35.04
FOURNEYRON,Valérie,Mme,SOC,Socialiste,19289,"  55,16","  31,55",oui,07601,55.16,31.55
DEVAUX,Bruno,M.,UMP,Union pour un Mouvement Populaire,15681,"  44,84","  25,65",non,07601,44.84,25.65
ZIMERAY,François,M.,SOC,Socialiste,25994,"  48,76","  29,59",non,07602,48.76,29.59
GUÉGOT,Françoise,Mme,UMP,Union pour un Mouvement Populaire,27311,"  51,24","  31,09",oui,07602,51.24,31.09
BOURGUIGNON,Pierre,M.,SOC,Socialiste,20669,"  66,94","  36,30",oui,07603,66.94,36.3
TAFFOREAU,Catherine,Mme,UMP,Union pour un Mouvement Populaire,10207,"  33,06","  17,92",non,07603,33.06,17.92
FABIUS,Laurent,M.,SOC,Socialiste,27536,"  67,54","  38,01",oui,07604,67.54,38.01
ROUX,Marie-Hélène,Mme,UMP,Union pour un Mouvement Populaire,13236,"  32,46","  18,27",non,07604,32.46,18.27
BOUILLON,Christophe,M.,SOC,Socialiste,32196,"  60,06","  36,14",oui,07605,60.06,36.14
POUSSIER,Marie-Agnès,Mme,UMP,Union pour un Mouvement Populaire,21411,"  39,94","  24,03",non,07605,39.94,24.03
LECOQ,Jean-Paul,M.,COM,Communiste,22813,"  51,11","  28,75",oui,07606,51.11,28.75
MERVILLE,Denis,M.,UMP,Union pour un Mouvement Populaire,21819,"  48,89","  27,50",non,07606,48.89,27.5
BESSELAT,Jean-Yves,M.,UMP,Union pour un Mouvement Populaire,18154,"  56,39","  30,68",oui,07607,56.39,30.68
LOGIOU,Laurent,M.,SOC,Socialiste,14039,"  43,61","  23,72",non,07607,43.61,23.72
CAHIERRE,Agathe,Mme,UMP,Union pour un Mouvement Populaire,10689,"  42,57","  20,43",non,07608,42.57,20.43
PAUL,Daniel,M.,COM,Communiste,14423,"  57,43","  27,57",oui,07608,57.43,27.57
