NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
5,VERAN,Olivier,M.,REM,La République en marche,23212,"  68,09","  27,91",oui,03801,68.09,27.91
10,MERMILLOD-BLONDIN,Jean-Damien,M.,UDI,Union des Démocrates et Indépendants,10878,"  31,91","  13,08",non,03801,31.91,13.08
3,JOLLY,Alexis,M.,FN,Front National,7115,"  26,45","   9,19",non,03802,26.45,9.19
5,COLAS-ROY,Jean-Charles,M.,REM,La République en marche,19785,"  73,55","  25,55",oui,03802,73.55,25.55
3,CHALAS,Emilie,Mme,REM,La République en marche,12014,"  54,01","  20,10",oui,03803,54.01,20.1
4,BRIOT,Raphaël,M.,FI,La France insoumise,10232,"  45,99","  17,12",non,03803,45.99,17.12
11,BATTISTEL,Marie-Noëlle,Mme,SOC,Parti socialiste,18755,"  54,01","  20,90",oui,03804,54.01,20.9
12,HUGELÉ,Fabrice,M.,REM,La République en marche,15970,"  45,99","  17,79",non,03804,45.99,17.79
9,LANGENIEUX-VILLARD,Philippe,M.,LR,Les Républicains,12046,"  33,29","  11,77",non,03805,33.29,11.77
12,KAMOWSKI,Catherine,Mme,REM,La République en marche,24136,"  66,71","  23,59",oui,03805,66.71,23.59
6,DÉZEMPTE,Gérard,M.,FN,Front National,15062,"  44,95","  18,09",non,03806,44.95,18.09
8,MOTIN,Cendra,Mme,REM,La République en marche,18444,"  55,05","  22,15",oui,03806,55.05,22.15
5,LIMON,Monique,Mme,REM,La République en marche,17716,"  51,84","  19,37",oui,03807,51.84,19.37
6,NEUDER,Yannick,M.,LR,Les Républicains,16456,"  48,16","  18,00",non,03807,48.16,18.0
1,MONNIER,Thibaut,M.,FN,Front National,10671,"  36,08","  13,58",non,03808,36.08,13.58
2,ABADIE,Caroline,Mme,REM,La République en marche,18907,"  63,92","  24,06",oui,03808,63.92,24.06
1,JACQUIER-LAFORGE,Elodie,Mme,MDM,Modem,20544,"  60,25","  21,14",oui,03809,60.25,21.14
6,GATTAZ,Bruno,M.,LR,Les Républicains,13554,"  39,75","  13,95",non,03809,39.75,13.95
2,MEYNIER-MILLEFERT,Marjolaine,Mme,REM,La République en marche,21566,"  64,62","  23,00",oui,03810,64.62,23.0
3,BREUIL,Alain,M.,FN,Front National,11806,"  35,38","  12,59",non,03810,35.38,12.59
8,BRULEBOIS,Danielle,Mme,REM,La République en marche,15498,"  57,88","  23,69",oui,03901,57.88,23.69
11,BRERO,Cyrille,M.,LR,Les Républicains,11278,"  42,12","  17,24",non,03901,42.12,17.24
7,PROST-GROSJEAN,Anne,Mme,MDM,Modem,9785,"  42,83","  17,72",non,03902,42.83,17.72
11,DALLOZ,Marie-Christine,Mme,LR,Les Républicains,13063,"  57,17","  23,65",oui,03902,57.17,23.65
7,SERMIER,Jean-Marie,M.,LR,Les Républicains,17679,"  58,27","  25,44",oui,03903,58.27,25.44
8,BARD,Paul-Henri,M.,MDM,Modem,12660,"  41,73","  18,22",non,03903,41.73,18.22
3,DARRIEUSSECQ,Geneviève,Mme,MDM,Modem,26192,"  63,65","  25,83",oui,04001,63.65,25.83
6,LAGRAVE,Renaud,M.,SOC,Parti socialiste,14961,"  36,35","  14,76",non,04001,36.35,14.76
2,CAUSSE,Lionel,M.,REM,La République en marche,29682,"  62,95","  26,44",oui,04002,62.95,26.44
6,DACHARRY,Caroline,Mme,FI,La France insoumise,17471,"  37,05","  15,56",non,04002,37.05,15.56
2,VALLAUD,Boris,M.,SOC,Parti socialiste,23460,"  50,75","  24,31",oui,04003,50.75,24.31
8,STEINER,Jean-Pierre,M.,REM,La République en marche,22769,"  49,25","  23,59",non,04003,49.25,23.59
7,FESNEAU,Marc,M.,MDM,Modem,22914,"  69,15","  27,69",oui,04101,69.15,27.69
9,CHASSIER,Michel,M.,FN,Front National,10221,"  30,85","  12,35",non,04101,30.85,12.35
9,BRAULT,Jean-Luc,M.,REM,La République en marche,16324,"  46,07","  20,32",non,04102,46.07,20.32
12,PELTIER,Guillaume,M.,LR,Les Républicains,19108,"  53,93","  23,78",oui,04102,53.93,23.78
3,MARTIN,Marlène,Mme,REM,La République en marche,14784,"  39,04","  17,99",non,04103,39.04,17.99
9,LEROY,Maurice,M.,UDI,Union des Démocrates et Indépendants,23088,"  60,96","  28,09",oui,04103,60.96,28.09
5,JUANICO,Régis,M.,SOC,Parti socialiste,11544,"  50,05","  17,59",oui,04201,50.05,17.59
10,VIALLON,Magalie,Mme,REM,La République en marche,11521,"  49,95","  17,55",non,04201,49.95,17.55
6,TAURINYA,Andrée,Mme,FI,La France insoumise,7716,"  42,53","  14,51",non,04202,42.53,14.51
7,MIS,Jean-Michel,M.,REM,La République en marche,10425,"  57,47","  19,60",oui,04202,57.47,19.6
5,FAURE-MUNTIAN,Valéria,Mme,REM,La République en marche,15298,"  52,62","  18,54",oui,04203,52.62,18.54
9,ROCHEBLOINE,François,M.,UDI,Union des Démocrates et Indépendants,13776,"  47,38","  16,70",non,04203,47.38,16.7
9,CINIERI,Dino,M.,LR,Les Républicains,19039,"  50,13","  18,83",oui,04204,50.13,18.83
12,KAUFFER,David,M.,REM,La République en marche,18940,"  49,87","  18,73",non,04204,49.87,18.73
7,SARLES,Nathalie,Mme,MDM,Modem,21257,"  53,13","  21,02",oui,04205,53.13,21.02
8,ROBIN,Clotilde,Mme,LR,Les Républicains,18751,"  46,87","  18,54",non,04205,46.87,18.54
5,BOROWCZYK,Julien,M.,REM,La République en marche,23055,"  56,87","  21,42",oui,04206,56.87,21.42
11,SALEN,Paul,M.,LR,Les Républicains,17485,"  43,13","  16,25",non,04206,43.13,16.25
1,GALLIEN,Cécile,Mme,REM,La République en marche,18772,"  41,28","  19,20",non,04301,41.28,19.2
9,VALENTIN,Isabelle,Mme,LR,Les Républicains,26705,"  58,72","  27,31",oui,04301,58.72,27.31
1,VIGIER,Jean-Pierre,M.,LR,Les Républicains,22306,"  63,89","  28,07",oui,04302,63.89,28.07
9,ETEOCLE,Pierre,M.,REM,La République en marche,12606,"  36,11","  15,86",non,04302,36.11,15.86
6,DE RUGY,François,M.,REM,La République en marche,18796,"  66,14","  25,08",oui,04401,66.14,25.08
16,BAINVEL,Julien,M.,LR,Les Républicains,9622,"  33,86","  12,84",non,04401,33.86,12.84
5,MALARD,Carole,Mme,FI,La France insoumise,14370,"  40,01","  16,74",non,04402,40.01,16.74
